Quantify Compound Summary Report 

Printed Mon Jul 07 16:18:09 2025

Compound 1:  AMP

	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	ng/mL	%Dev
1	20250623_PM_CP_25CMP18_1	BEH100	Blank								
10	20250623_PM_CP_25CMP18_10	BEH100	Analyte		2.90	19.165		19.165	bb		
11	20250623_PM_CP_25CMP18_11	BEH100	Analyte		2.90	16.058		16.058	bb		
12	20250623_PM_CP_25CMP18_12	BEH100	Analyte		2.90	10.199		10.199	bb		
13	20250623_PM_CP_25CMP18_13	BEH100	Analyte								
14	20250623_PM_CP_25CMP18_14	BEH100	Analyte								
15	20250623_PM_CP_25CMP18_15	BEH100	Analyte		2.91	21.494		21.494	bb		
16	20250623_PM_CP_25CMP18_16	BEH100	Analyte								
17	20250623_PM_CP_25CMP18_17	BEH100	Analyte		2.90	8.980		8.980	MM		
18	20250623_PM_CP_25CMP18_18	BEH100	Analyte		2.90	17.594		17.594	MM		
19	20250623_PM_CP_25CMP18_19	BEH100	Analyte		2.90	12.987		12.987	bb		
2	20250623_PM_CP_25CMP18_2	BEH100	Analyte		2.91	39.953		39.953	bb		
20	20250623_PM_CP_25CMP18_20	BEH100	Analyte		2.90	21.852		21.852	bb		
21	20250623_PM_CP_25CMP18_21	BEH100	Analyte		2.90	13.821		13.821	bb		
22	20250623_PM_CP_25CMP18_22	BEH100	Analyte								
23	20250623_PM_CP_25CMP18_23	BEH100	Analyte								
24	20250623_PM_CP_25CMP18_24	BEH100	Analyte								
25	20250623_PM_CP_25CMP18_25	BEH100	Analyte		2.88	192.427		192.427	bb		
26	20250623_PM_CP_25CMP18_26	BEH100	Analyte								
27	20250623_PM_CP_25CMP18_27	BEH100	Analyte								
28	20250623_PM_CP_25CMP18_28	BEH100	Analyte								
29	20250623_PM_CP_25CMP18_29	BEH100	Analyte		2.91	9.894		9.894	MM		
3	20250623_PM_CP_25CMP18_3	BEH100	Analyte		2.90	17.599		17.599	bb		
30	20250623_PM_CP_25CMP18_30	BEH100	Analyte								
31	20250623_PM_CP_25CMP18_31	BEH100	Analyte								
32	20250623_PM_CP_25CMP18_32	BEH100	Analyte								
33	20250623_PM_CP_25CMP18_33	BEH100	Analyte		2.91	16.548		16.548	bb		
34	20250623_PM_CP_25CMP18_34	BEH100	Analyte								
35	20250623_PM_CP_25CMP18_35	BEH100	Analyte		2.90	17.367		17.367	bb		
36	20250623_PM_CP_25CMP18_36	BEH100	Analyte								
37	20250623_PM_CP_25CMP18_37	BEH100	Analyte								
38	20250623_PM_CP_25CMP18_38	BEH100	Analyte								
39	20250623_PM_CP_25CMP18_39	BEH100	Analyte								
4	20250623_PM_CP_25CMP18_4	BEH100	Analyte		2.90	16.166		16.166	bb		
40	20250623_PM_CP_25CMP18_40	BEH100	Analyte								
41	20250623_PM_CP_25CMP18_41	BEH100	Analyte								
42	20250623_PM_CP_25CMP18_42	BEH100	Analyte		2.89	450.377		450.377	bb		
43	20250623_PM_CP_25CMP18_43	BEH100	Analyte		2.89	12.232		12.232	bb		
44	20250623_PM_CP_25CMP18_44	BEH100	Analyte								
45	20250623_PM_CP_25CMP18_45	BEH100	Analyte								
46	20250623_PM_CP_25CMP18_46	BEH100	Analyte		2.90	14.725		14.725	bb		
47	20250623_PM_CP_25CMP18_47	BEH100	Analyte								
48	20250623_PM_CP_25CMP18_48	BEH100	Analyte		2.91	9.443		9.443	MM		
49	20250623_PM_CP_25CMP18_49	BEH100	Analyte								
5	20250623_PM_CP_25CMP18_5	BEH100	Analyte								
50	20250623_PM_CP_25CMP18_50	BEH100	Analyte		2.89	442.654		442.654	bb		
51	20250623_PM_CP_25CMP18_51	BEH100	Analyte		2.89	185.994		185.994	bb		
52	20250623_PM_CP_25CMP18_52	BEH100	Analyte		2.89	491.855		491.855	bb		
53	20250623_PM_CP_25CMP18_53	BEH100	Analyte								
54	20250623_PM_CP_25CMP18_54	BEH100	Analyte								
55	20250623_PM_CP_25CMP18_55	BEH100	Analyte		2.89	15.611		15.611	bb		
56	20250623_PM_CP_25CMP18_56	BEH100	Analyte								
57	20250623_PM_CP_25CMP18_57	BEH100	Analyte								
58	20250623_PM_CP_25CMP18_58	BEH100	Analyte		2.91	10.932		10.932	bb		
59	20250623_PM_CP_25CMP18_59	BEH100	Analyte								
6	20250623_PM_CP_25CMP18_6	BEH100	Analyte		2.89	9.335		9.335	MM		
60	20250623_PM_CP_25CMP18_60	BEH100	Analyte								
61	20250623_PM_CP_25CMP18_61	BEH100	Analyte		2.89	51.889		51.889	bb		
62	20250623_PM_CP_25CMP18_62	BEH100	Analyte		2.90	11.981		11.981	bb		
63	20250623_PM_CP_25CMP18_63	BEH100	Analyte								
64	20250623_PM_CP_25CMP18_64	BEH100	Analyte								
65	20250623_PM_CP_25CMP18_65	BEH100	Analyte								
66	20250623_PM_CP_25CMP18_66	BEH100	Analyte								
67	20250623_PM_CP_25CMP18_67	BEH100	Analyte								
68	20250623_PM_CP_25CMP18_68	BEH100	Analyte								
69	20250623_PM_CP_25CMP18_69	BEH100	Analyte								
7	20250623_PM_CP_25CMP18_7	BEH100	Analyte		2.90	22.695		22.695	bb		
70	20250623_PM_CP_25CMP18_70	BEH100	Analyte								
71	20250623_PM_CP_25CMP18_71	BEH100	Analyte								
72	20250623_PM_CP_25CMP18_72	BEH100	Analyte		2.89	53.044		53.044	bb		
73	20250623_PM_CP_25CMP18_73	BEH100	Analyte								
74	20250623_PM_CP_25CMP18_74	BEH100	Analyte								
75	20250623_PM_CP_25CMP18_75	BEH100	Analyte								
76	20250623_PM_CP_25CMP18_76	BEH100	Analyte		2.89	63.005		63.005	bb		
77	20250623_PM_CP_25CMP18_77	BEH100	Analyte		2.89	114.547		114.547	bb		
78	20250623_PM_CP_25CMP18_78	BEH100	Analyte								
79	20250623_PM_CP_25CMP18_79	BEH100	Analyte		2.91	9.604		9.604	MM		
8	20250623_PM_CP_25CMP18_8	BEH100	Analyte		2.90	12.540		12.540	bb		
80	20250623_PM_CP_25CMP18_80	BEH100	Analyte		2.89	8.337		8.337	MM		
81	20250623_PM_CP_25CMP18_81	BEH100	Analyte								
82	20250623_PM_CP_25CMP18_82	BEH100	Analyte								
83	20250623_PM_CP_25CMP18_83	BEH100	Analyte								
84	20250623_PM_CP_25CMP18_84	BEH100	Analyte								
85	20250623_PM_CP_25CMP18_85	BEH100	Analyte								
86	20250623_PM_CP_25CMP18_86	BEH100	Analyte								
87	20250623_PM_CP_25CMP18_87	BEH100	Analyte								
9	20250623_PM_CP_25CMP18_9	BEH100	Analyte		2.90	23.996		23.996	bb		

